Chamber,ID,Region,Treatment
1,0,L,A
1,0,R,B
1,1,L,B
1,1,R,A
1,2,L,A
1,2,R,B
1,3,L,B
1,3,R,A
1,4,L,A
1,4,R,B
1,5,L,B
1,5,R,A
2,0,L,B
2,0,R,A
2,1,L,A
2,1,R,B
2,2,L,B
2,2,R,A
2,3,L,A
2,3,R,B
2,4,L,B
2,4,R,A
2,5,L,A
2,5,R,B
3,0,L,A
3,0,R,B
3,1,L,B
3,1,R,A
3,2,L,A
3,2,R,B
3,3,L,B
3,3,R,A
3,4,L,A
3,4,R,B
3,5,L,B
3,5,R,A
4,0,L,B
4,0,R,A
4,1,L,A
4,1,R,B
4,2,L,B
4,2,R,A
4,3,L,A
4,3,R,B
4,4,L,B
4,4,R,A
4,5,L,A
4,5,R,B
5,0,L,A
5,0,R,B
5,1,L,B
5,1,R,A
5,2,L,A
5,2,R,B
5,3,L,B
5,3,R,A
5,4,L,A
5,4,R,B
5,5,L,B
5,5,R,A
6,0,L,B
6,0,R,A
6,1,L,A
6,1,R,B
6,2,L,B
6,2,R,A
6,3,L,A
6,3,R,B
6,4,L,B
6,4,R,A
6,5,L,A
6,5,R,B
7,0,L,A
7,0,R,B
7,1,L,B
7,1,R,A
7,2,L,A
7,2,R,B
7,3,L,B
7,3,R,A
7,4,L,A
7,4,R,B
7,5,L,B
7,5,R,A
8,0,L,B
8,0,R,A
8,1,L,A
8,1,R,B
8,2,L,B
8,2,R,A
8,3,L,A
8,3,R,B
8,4,L,B
8,4,R,A
8,5,L,A
8,5,R,B
9,0,L,A
9,0,R,B
9,1,L,B
9,1,R,A
9,2,L,A
9,2,R,B
9,3,L,B
9,3,R,A
9,4,L,A
9,4,R,B
9,5,L,B
9,5,R,A
10,0,L,B
10,0,R,A
10,1,L,A
10,1,R,B
10,2,L,B
10,2,R,A
10,3,L,A
10,3,R,B
10,4,L,B
10,4,R,A
10,5,L,A
10,5,R,B
11,0,L,A
11,0,R,B
11,1,L,B
11,1,R,A
11,2,L,A
11,2,R,B
11,3,L,B
11,3,R,A
11,4,L,A
11,4,R,B
11,5,L,B
11,5,R,A
12,0,L,B
12,0,R,A
12,1,L,A
12,1,R,B
12,2,L,B
12,2,R,A
12,3,L,A
12,3,R,B
12,4,L,B
12,4,R,A
12,5,L,A
12,5,R,B
