TrackingRegion,ObjectID,PIMult,Treatment,CountingRegion
2,0,1,Cont,None
2,1,1,Cont,None
2,2,1,Cont,None
2,3,1,Cont,None
2,4,1,Cont,None
2,5,1,Cont,None
2,6,1,Cont,None
2,7,1,Cont,None
2,8,1,Cont,None
2,9,1,Cont,None
3,0,1,Cont,None
3,1,1,Cont,None
3,2,1,Cont,None
3,3,1,Cont,None
3,4,1,Cont,None
3,5,1,Cont,None
3,6,1,Cont,None
3,7,1,Cont,None
3,8,1,Cont,None
3,9,1,Cont,None
4,0,1,Cont,None
4,1,1,Cont,None
4,2,1,Cont,None
4,3,1,Cont,None
4,4,1,Cont,None
4,5,1,Cont,None
4,6,1,Cont,None
4,7,1,Cont,None
4,8,1,Cont,None
4,9,1,Cont,None
5,0,1,Butan,None
5,1,1,Butan,None
5,2,1,Butan,None
5,3,1,Butan,None
5,4,1,Butan,None
5,5,1,Butan,None
5,6,1,Butan,None
5,7,1,Butan,None
5,8,1,Butan,None
5,9,1,Butan,None
6,0,-1,Butan,None
6,1,-1,Butan,None
6,2,-1,Butan,None
6,3,-1,Butan,None
6,4,-1,Butan,None
6,5,-1,Butan,None
6,6,-1,Butan,None
6,7,-1,Butan,None
6,8,-1,Butan,None
6,9,-1,Butan,None
7,0,1,Benz,None
7,1,1,Benz,None
7,2,1,Benz,None
7,3,1,Benz,None
7,4,1,Benz,None
7,5,1,Benz,None
7,6,1,Benz,None
7,7,1,Benz,None
7,8,1,Benz,None
7,9,1,Benz,None
